FIELD,FRI_M1,FRI_M2,FRI_M3,FRI_M4,FRI_M5,SAT_M1,SAT_M2,SAT_M3,SAT_M4,FRI_W1,FRI_W2,FRI_W3,FRI_W4,FRI_W5,SAT_W1,SAT_W2,SAT_W3,SAT_W4
F1,,STANFORD v COLORADO ST,,UNC v CARLETON,,WASHINGTON v CAL POLY-SLO,,OREGON v WISCONSIN,,DARTMOUTH (15) v DELAWARE (4),,DARTMOUTH v DELAWARE,,TEXAS v BC,,VIRGINIA v TUFTS,,NOTRE DAME v OREGON
F2,,,PITT v MICHIGAN,WASHINGTON v COLORADO ST,UNC v OREGON ST,BC v VA TECH,OREGON v VA TECH,MINNESOTA v BC,,NOTRE DAME (14) v FLORIDA (11),STANFORD v COLORADO,,,,,,,VIRGINIA v MICHIGAN
F3,,,UNCW v TEXAS A&M,,,UMASS v STANFORD,PITT v UNCW,,UNC v AUBURN,BC (15) v UNC (8),CARLETON v PITT,,VIRGINIA v UCLA,VIRGINIA v UCSD,,,COLORADO v CARLETON,
F4,,,,,,,,,,CAL (15) v UCONN (3),,,,OREGON v DELAWARE,,,,
F5,PITT (15) v UCONN (5),UMASS v WASHINGTON,,,MINNESOTA v OREGON,,UNC v COLORADO,,,,,TEXAS v UCONN,TUFTS v MICHIGAN,,TEXAS v CAL,,STANFORD v PITT,PITT v OHIO ST
F6,MICHIGAN (15) v TEXAS A&M (7),CARLETON v AUBURN,,STANFORD v CAL POLY-SLO,UMASS v CAL POLY-SLO,,,,MICHIGAN v UNCW,,,CAL v UNC,,,UNC v UCONN,BC v UCONN,BC v CAL,
F7,OREGON (15) v BC (10),,MINNESOTA v VA TECH,,,,,,,,UCLA v MICHIGAN,,CARLETON v OHIO ST,STANFORD v OHIO ST,STANFORD v CARLETON,NOTRE DAME v DELAWARE,FLORIDA v DELAWARE,DARTMOUTH v FLORIDA
F8,WISCONSIN (15) v VA TECH (10),,WISCONSIN v BC,,UNCW v UCONN,,MICHIGAN v UCONN,TEXAS A&M v UCONN,PITT v TEXAS A&M,,TUFTS v UCSD,,COLORADO v PITT,,COLORADO v OHIO ST,,,
F9,,,,,,,,UMASS v COLORADO ST,COLORADO ST v CAL POLY-SLO,,,,,,MICHIGAN v UCSD,UCLA v UCSD,,
F10,,,,,,MINNESOTA v WISCONSIN,,,CARLETON v COLORADO,,,,,,,DARTMOUTH v OREGON,TEXAS v UNC,
F11,,,,,,,CARLETON v OREGON ST,WASHINGTON v STANFORD,,,,,,,,,,UCLA v TUFTS
F12,,,,,,,,,,,,,,,,,,
F13,,COLORADO v OREGON ST,,COLORADO v AUBURN,,,,,,,,OREGON v FLORIDA,,,,,,
